Code,Year,Electoral democracy index
,1978,0.16261111
,1979,0.17177778
,1980,0.18733333
,1981,0.18857406
,1982,0.18809259
,1983,0.18787037
,1984,0.18546297
,1985,0.18735184
,1986,0.19164814
,1987,0.192
,1988,0.19414815
,1989,0.19496296
,1990,0.22416666
,1991,0.25832728
,1992,0.2904
,1993,0.3206
,1994,0.3298909
,1995,0.34350908
,1996,0.3479091
,1997,0.35194546
,1998,0.3553091
,1999,0.3522
,2000,0.35852727
,2001,0.36112726
,2002,0.372
,2003,0.38356364
,2004,0.3858
,2005,0.39352727
,2006,0.4070909
,2007,0.41218182
,2008,0.40958184
,2009,0.4028727
,2010,0.40305454
,2011,0.41275
,2012,0.42026785
,2013,0.42228574
,2014,0.42748216
,2015,0.4239464
,2016,0.429375
,2017,0.42839286
,2018,0.42873216
,2019,0.42057142
,2020,0.41257143
,2021,0.3987143
,2022,0.3886607
,2023,0.38323215
ALB,1914,0.098
ALB,1915,0.083
ALB,1916,0.096
ALB,1917,0.096
ALB,1918,0.099
ALB,1919,0.135
ALB,1920,0.143
ALB,1921,0.214
ALB,1922,0.226
ALB,1923,0.209
ALB,1924,0.148
ALB,1925,0.166
ALB,1926,0.172
ALB,1927,0.174
ALB,1928,0.174
ALB,1929,0.141
ALB,1930,0.141
ALB,1931,0.141
ALB,1932,0.15
ALB,1933,0.173
ALB,1934,0.173
ALB,1935,0.173
ALB,1936,0.173
ALB,1937,0.121
ALB,1938,0.106
ALB,1939,0.071
ALB,1940,0.049
ALB,1941,0.049
ALB,1942,0.049
ALB,1943,0.052
ALB,1944,0.05
ALB,1945,0.045
ALB,1946,0.07
ALB,1947,0.162
ALB,1948,0.162
ALB,1949,0.165
ALB,1950,0.172
ALB,1951,0.175
ALB,1952,0.175
ALB,1953,0.175
ALB,1954,0.175
ALB,1955,0.175
ALB,1956,0.175
ALB,1957,0.175
ALB,1958,0.174
ALB,1959,0.173
ALB,1960,0.174
ALB,1961,0.174
ALB,1962,0.174
ALB,1963,0.174
ALB,1964,0.174
ALB,1965,0.174
ALB,1966,0.175
ALB,1967,0.175
ALB,1968,0.175
ALB,1969,0.175
ALB,1970,0.175
ALB,1971,0.175
ALB,1972,0.175
ALB,1973,0.175
ALB,1974,0.175
ALB,1975,0.174
ALB,1976,0.174
ALB,1977,0.174
ALB,1978,0.174
ALB,1979,0.174
ALB,1980,0.174
ALB,1981,0.174
ALB,1982,0.174
ALB,1983,0.174
ALB,1984,0.174
ALB,1985,0.174
ALB,1986,0.174
ALB,1987,0.174
ALB,1988,0.174
ALB,1989,0.174
ALB,1990,0.189
ALB,1991,0.372
ALB,1992,0.423
ALB,1993,0.424
ALB,1994,0.423
ALB,1995,0.432
ALB,1996,0.387
ALB,1997,0.372
ALB,1998,0.394
ALB,1999,0.402
ALB,2000,0.407
ALB,2001,0.44
ALB,2002,0.484
ALB,2003,0.49
ALB,2004,0.49
ALB,2005,0.52
ALB,2006,0.551
ALB,2007,0.556
ALB,2008,0.552
ALB,2009,0.553
ALB,2010,0.551
ALB,2011,0.551
ALB,2012,0.547
ALB,2013,0.524
ALB,2014,0.527
ALB,2015,0.527
ALB,2016,0.529
ALB,2017,0.54
ALB,2018,0.527
ALB,2019,0.517
ALB,2020,0.536
