Code,Year,GDP Per Capita,,
FIN,1954,7973,,
,1954,1417,,
FRA,1954,9428,,
GAB,1954,3335,,
GMB,1954,1068,,
DEU,1954,8364,,
GHA,1954,2099,,
GRC,1954,3759,,
GTM,1954,3194,,
GIN,1954,587,,
GNB,1954,652,,
HTI,1954,1884,,
HND,1954,1997,,
HKG,1954,4124,,
HUN,1954,4543,,
ISL,1954,9446,,
IND,1954,1071,,
IDN,1954,1517,,
IRN,1954,2464,,
IRQ,1954,3926,,
IRL,1954,6048,,
ISR,1954,5378,,
ITA,1954,7092,,
JAM,1954,2962,,
JPN,1954,4116,,
JOR,1954,2848,,
KEN,1954,1095,,
KWT,1954,52920,,
LAO,1954,730,,
LBN,1954,6668,,
LSO,1954,708,,
LBR,1954,3427,,
LBY,1954,662,,
LUX,1954,13238,,
MDG,1954,1645,,
MWI,1954,566,,
MYS,1954,2375,,
MLI,1954,778,,
MLT,1954,1844,,
MRT,1954,756,,
MUS,1954,4095,,
MEX,1954,3851,,
MNG,1954,764,,
MNE,1954,1581,,
MAR,1954,2353,,
MOZ,1954,1924,,
MMR,1954,668,,
NAM,1954,4254,,
NPL,1954,886,,
NLD,1954,11010,,
NZL,1954,13936,,
NIC,1954,3178,,
NER,1954,1063,,
NGA,1954,1382,,
MKD,1954,2289,,
NOR,1954,9923,,
OMN,1954,1173,,
PAK,1954,1014,,
PSE,1954,1801,,
PAN,1954,2681,,
PRY,1954,2255,,
PER,1954,4117,,
PHL,1954,2085,,
POL,1954,4328,,
PRT,1954,3814,,
PRI,1954,4081,,
QAT,1954,51490,,
ROU,1954,2384.6633,,
RUS,1954,4108.7524,,
RWA,1954,1127,,
LCA,1954,1364,,
STP,1954,1325,,
SAU,1954,4642,,
SEN,1954,2146,,
SRB,1954,2236,,
SYC,1954,2992,,
SLE,1954,1023,,
SGP,1954,3202,,
SVN,1954,4623,,
ZAF,1954,4404,,
KOR,1954,1372.6798,,
ESP,1954,4322.012,,
LKA,1954,2066,,
SWE,1954,11799,,
CHE,1954,13171.406,,
SYR,1954,5504,,
TWN,1954,1825,,
TZA,1954,735,,
THA,1954,1431,,
TGO,1954,928,,
TTO,1954,6239,,
TUN,1954,1991,,
TUR,1954,2609,,
OWID_USS,1954,4951,,
UGA,1954,1033,,
ARE,1954,31695,,
GBR,1954,12145,,
USA,1954,16512,,
URY,1954,8273,,
VEN,1954,10020,,
VNM,1954,1167,,
YEM,1954,1492,,
OWID_YGS,1954,2335,,
ZMB,1954,1231,,
ZWE,1954,1231,,
AFG,1955,1246,,
ALB,1955,1882,,
DZA,1955,2303,,
AGO,1955,1830,,
ARG,1955,8348,,
AUS,1955,12795,,
AUT,1955,8054,,
BHR,1955,4014,,
BGD,1955,810,,
BRB,1955,4133,,
BEL,1955,10010,,
BEN,1955,1474,,
BOL,1955,2954,,
BIH,1955,2265,,
BWA,1955,529,,
BRA,1955,2675,,
BGR,1955,3424,,
BFA,1955,859,,
BDI,1955,674,,
KHM,1955,826,,
CMR,1955,1202,,
CAN,1955,13072,,
CPV,1955,1034,,
CAF,1955,1462,,
TCD,1955,907,,
CHL,1955,6341,,
CHN,1955,1119,,
COL,1955,3783,,
COM,1955,596,,
COG,1955,1854,,
CRI,1955,3921,,
CIV,1955,1796,,
HRV,1955,3749,,
CUB,1955,2638,,
CYP,1955,3360,,
OWID_CZS,1955,6252,,
COD,1955,1170,,
DNK,1955,11788,,
DJI,1955,3765,,
